"review_name","review_stars","review_comment"
"Cape Dory Sailor","1.0 out of 5 stars","These shirts arrived unbelievably large; A size Large is much larger than a large in any other brand like J. Crew, Gap, Prana, Patagonia, any of Target's brands, etc.
I washed them on cold, and then the absolute lowest setting on my dryer. The shirts shrunk to be about the size of a J. Crew Medium, despite being exposed to virtually no heat, and cold water. I can't imagine what will happen when I wash them next. But, what's really crazy is the differences in each shirt. I had to throw one shirt away immediately after washing, because it was, no exaggeration, 4"" shorter than the other shirts. It came down to above my belly button. None of the shirts are symmetrical, and none of them fit or are sewn the same as the other shirts. I assume these are hand made by people that are new to garment sewing. There are odd skipped and uneven stitches, which is something I've never noticed in any other factory produced garment. On top of all of this, these are paper thin shirts. Wearing the white shirt as an undershirt under a plain white button up, and you can see right through both shirts; these are definitely not appropriate shirts to wear on their own.
I'll be using these as undershirts, but I'm never buying anything from this brand again. I have shirts from other inexpensive brands that were just a little more expensive that are far better in both fit and quality."
"mOejOe33","1.0 out of 5 stars","Major inconsistencies from all 5 shirts. Most noticeable was the ""V"", which isn't centered. The ""V"" also drops down WAY TOO LOW wherein my inner collarbone is completely exposed. I was hoping that after washing it would slightly shrink to fit better...all it did was shrink the length of the (already super short) sleeves."
"VXZ","1.0 out of 5 stars","Not sure what the other reviewers are talking about. These shirts when compared to Hanes Our Most Comfortable, feels terrible. Feels very rough compared to my used Hanes.dont waste your money. Buy the Hanes one at Sam's Club."
"Alex","1.0 out of 5 stars","Absolutely disgusting and a waste. The entire pack was dirty used shirts, none were even a large. Only one was even a gildan brand shirt. The rest were used Hanes shirts. Should have checked earlier. No wonder the bottom was taped. HOW GROSS."
"Joel K","1.0 out of 5 stars","Don’t waste your money on these, they are terribly cheap and the necks lose their shape after a single wash.
I literally received these less than a week ago, washed them with the hopes they’d shrink a bit, and was disappointed to see the neck come out of the dryer wavy and not laying flat on every one of the six that came in the package.
I’ve worn Haynes v-necks forever and should have stuck with what I know. Oh well, at least I can make a bunch of shop rags out of these now."
"Mark B.","1.0 out of 5 stars","These are the most uncomfortable T-shirts that I've ever bought (first Gildan purchase here). They are also a little big in the midsection area. I washed them in hoping they would shrink and feel softer too...they didn't. The material is so uncomfortable on the skin. I tried giving to my teenage son and he didn't want them either. lol! We threw them away. I would suggest not buying. Very disappointed with this brand and won't be buying Gildan anything ever again."
"Tyson Davis","1.0 out of 5 stars","Cheap material. Already a hole in one shirt after the second time wearing it."
"Megan Jones","1.0 out of 5 stars","Absolutely a waste of money. I'm a female, wear an XS or S in women's, depending on the brand and cut. I was looking for some cheap t-shirt for pajamas, and these looked great for those purposes. I prefer V-necks, so that was a huge bonus. I ordered a small, thinking that would be perfect, since I'm a women's XS/S (for reference, I'm 5' 6"" and around 110-115 lbs). They looked okay when I took them out of the packaging, but after I washed them, they shrunk terribly and hardly even fit at all. I don't think I'd even be able to wear them as regular shirts, let alone pajamas. The sleeve openings are quite tight, and there as zero shoulder width....they're too narrow even on my frame. The material is also very thick, stiff, and scratchy. The neckline is also not what I'd expect out of a V-neck....more U-shaped after watching, and still quite tight (I hate things close to my throat, so this is a problem). Absolutely do not waste your money on this. Poor material, poor fitting....just poor overall. And if you're a guy....you'll need to order probably 2 sizes up. But you don't want to buy this anyway."
"Norma M","1.0 out of 5 stars","Ordered these July 4th 2019 they seemed okay for the price about $16 at the time. A couple months later they have tiny holes at the bottom and they are various lengths despite being the same size. I wouldn’t recommend these. They stretch in odd places and the v neck is deformed on some. They look like I purchased at a goodwill because of a bad batch. I bought these for work but they’re better off as sleeping shirts. I won’t purchase again. Very disappointed."
"CML","1.0 out of 5 stars","First time I followed reviews over experience and I FAILED! Those shirts had way more great reviews compare to the Amazon essential shirts, that's the reason why I bought them. I use undershirts almost every day for work purposes and decided to give those a try, instead getting the Amazon essential shirts agin, which I already have and love! Big mistake, those shirts are not even close as soft as all other shirts I had before (Calvin Klein, Tommy Hilfiger, Amazon essential, Nautica etc.). Not comfy because the material is not soft at all, wouldn't recommend them."
"chi-towm","1.0 out of 5 stars","Just opened the package to try on my shirt. I looked in the mirror and noticed the v portion of my shirt was not centered. I tried on all of my shirts and only one was centered. Really wanted these to work but I can't unsee what I now know. Hopefully I can get a refund."
"kevin","1.0 out of 5 stars","Not only did everyone of these tee shirts come with small holes in them THEY WERE MARKED WITH TAPE so you knew there were holes in them. I will be getting a refund but Having to go through the whole refund thing is a hassle . I guess what upset me most was they knew about the hole enough to mark them with tape and sent them anyway. The price was just ok . I bought for the convenience and was way disappointed."
"swiss dude","1.0 out of 5 stars","These aren't great. The sleeves constantly fold up, along with bottom of the shirt. The cut of the fabric at the bottom of the shirt is not fitted, and as shown in the images, pops out away from the body. I'm a 6'1"" slim lad, and they make me look like I put on a few pounds around the belly. Next Level, my old T shirts off Amazon are much much better, for only slightly more. I'll be turning these into some oil rags for the cars. They also shrink quite a bit."
"SmexyGirl","1.0 out of 5 stars","These t-shirts are extremely unflattering to wear. They look like a tent that you'd wrap yourself when it's raining. The cotton fabric is rough on the skin and not soft. These will make great cleaning rags, but I wouldn't wear them out in public."
"Chi-Chi Padre","1.0 out of 5 stars","The product description clearly states that this was supposed to be a five pack of shirts and I got a four pack. Shirts are fine I'm sure as far as fit and feel, but f*** Gildan for the false advertising to make a quick buck. Fix the item description!!"
"Haze Scovern","1.0 out of 5 stars","All my shirts are mediums and they fit just fine. These shirts fit as if they were designed for women; it's tight at the armpits and the shirt length barely passes the waistline. It's also a bit itchy and the texture is very coarse due to their cheap choice of cotton. Probably the worst shirt I've ever worn."
"Cody","1.0 out of 5 stars","I order a pack of the XL. They are like wearing a 3XL in the body and chest. The collar of V neck is made for someone who wears a 5XL. I would order a size or two smaller next time. But they do shrink a lot in the wash. The material is like a Hanes t-shirt."
