"review_name","review_stars","review_comment"
"Jenn","1.0 out of 5 stars","These are definitely NOT comfort soft as advertised. My husband has been getting Hanes for years and we made the mistake of ordering them here because we found a good deal. Well, you get what you pay for..these must be a knock off or something. They were rough and itch even AFTER a wash. When we got them we realized there was no way they were true Hanes shirts. We submitted a return request but the seller was going to charge a 20% restocking fee and we had to pay for shipping so beware prior to buying. We tried washing a couple times to see if they would get any better but no luck. So we are now using as cleaning rags. So if you’re okay with low quality itchy and rough undershirts, then buy these!"
"Eric","1.0 out of 5 stars","Nothing close to ""ComfortSoft"" at all as stated. Even after several washes and dry, these shirts are still itchy and uncomfortable and if you are wearing it during warm days you will sweat in them and it will become itchy on your skin. I wear this as my undershirt for work while wearing my uniform-issued short sleeve button down shirt and I'm already sweating within minutes. I had 3 older versions of Hanes ComfortSoft Ts just like these ones before and they were very soft and not itchy to wear. The material was perfect and not too thick or too thin. These newer ones here are just ridiculously too thick and itchy."
"paul","1.0 out of 5 stars","I have ordered these on multiple occassions and received a great shirts. Those were tagless and made in dominican republic. It stated clearly that they were 100 % cotton. These are made in Honduras and have tags. In addition no where on the packaging does it state that these are 100 cotton. And they sure dont feel like it. Feels like I'm wearing a bag filled with sweat. Dont breathe at all."
"MPLSMAN","1.0 out of 5 stars","The shirts are not 100% Cotton as stated in the Hanes banner on web page (feel like mostly polyester); the sizing is completely off as measured and compared to the sizing chart on the web page; the 'black' that I ordered appears to be gray/charcoal; I have purchased many 'ComfortSoft' T-Shirts made by Hanes and these are not like those that I have purchased from other retailers in the past: they are course to the touch, heavyweight, and sized inappropriately. Finally, the shirts arrived in a white plastic bag. When opened, there were four shirts crammed in as if they were grabbed off a shelf and shoved into a bag. No Hanes packaging, etc. Odd. Unlike any Amazon purchase I have received in the past."
"LadyDi","1.0 out of 5 stars","This products advertises Hanes Men's Comfort soft T-Shirt (Pack of 4). When you click on all the different colors not one of the t-shirts have tags on them they all are tag less. We received the navy blue with tags and it doesn't say comfortsoft. See the attached picture. We also ordered deep red, light steel and black are all tag less and say comfortsoft. We ordered twilight blue which is tag less, however, it does not say comfortsoft. See the attached picture. The 3 shirts that were fine came from Amazon services and the 2 wrong shirts did not."
"Amazon Customer","1.0 out of 5 stars","These are not Comfort Soft T-shirts! These are Hanes generic black t-shirts that should not be described as Comfort Soft. I have purchased Comfort Soft Tees in the past and these are not them! These are made from a rough material and are not soft."
"N. Hogue","1.0 out of 5 stars","Arrived in non branded packaging, just a generic plastic bag. Also the listing says it has a comfort tear away tag, mine came tagless. and they do not say comfort soft. Every time i've purchased comfort soft from a legit store it says it right on the tag/tag print. Or most comfortable. I also can't seem to find this in comfort soft on their webiste so this just seems like a knock off or possibly just re-packing cheaper shirts in cheap bags.
The shirts are VERY stiff, rough to the touch, not stretchy and feel super cheap. Like something you'd get from the internet with a huge screen print on it. Not comfortable, not good seams, the price seemed too good to be true and it was. I feel like i over paid for these flea market rags.
the tag also lists RN15763 as a product number which on a search either brings up womens underwear, or a heavyweight shirt. These do feel heavyweight so possibly legit there but not what is listed on this listing at all. Avoid this merchant at all costs.
Recommend avoiding."
"Kevin","1.0 out of 5 stars","I am a female. I kept finding myself wearing my husband's super soft hanes comfort soft shirts to bed. So I thought I would get my own. These suck. They are not at all ""comfort soft"". My husband's words, ""They feel like a shop rag"". I thought , ""Maybe you can use them as shop shirts."" Nope. He wears a size med. These are med and way too small! They fit me but I am 110lbs and I would actually like them to be bigger. There was someone else who posted a picture of how much smaller they are than the white ones.
Anyway. These are too scratchy, the neck hole is too tight, the length is too short, and they are not soft.
Cons: almost everything
Pro: the color is nice"
"Anon Y Mous","1.0 out of 5 stars","These are not Hanes Comfortsoft shirts.
I wear Hanes Comfortsoft shirts on a daily basis and have purchased from many retailers online and in-store. Hanes Comfortsoft shirts are mid-weight, soft, and do not have a tag. The logo, size, and care instructions are printed on the inside of the shirt. These shirts are heavy-weight, course, and have a tag: printed on the inside is the size and ‘made in El Salvador,’ no care instructions.
Furthermore, I always take a size medium. These shirts say medium, but are comically huge, like an XL. Hanes sizing is consistent. Come on."
"Savvy Skeptic","1.0 out of 5 stars","These are *not* Hanes ComfortSoft shirts. The real ones are soft and stretchy with a grey tagless stamp at the neck. These are thick, coarse, scratchy, with minimal stretch and a bogus red tag at the neck that is more scratchy than the shirt itself. The real ones have the ComfortSoft trademark and are tagless. Found those from another seller and they were genuine, shipped in actual Hanes packaging. These arrived shrink wrapped in thick cellophane with no markings. FAKE"
